# fixture=nas,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,0,413.283,66.199,83.488,12.396,575.366,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,0,212.732,250.072,92.080,12.863,567.748,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,0,456.176,109.363,88.482,12.316,666.338,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,1,446.778,95.273,97.205,11.674,650.930,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,1,410.181,67.553,77.126,19.661,574.521,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,1,198.242,272.322,76.819,21.580,568.964,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,2,446.664,83.323,89.169,11.660,630.816,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,2,405.619,90.271,85.359,11.420,592.669,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,2,207.810,250.887,89.464,12.040,560.202,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,3,201.192,271.598,76.513,20.787,570.091,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,3,397.225,77.489,86.231,10.968,571.913,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
