mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,716.540,120.615,398.362,107.998,78.561,10.997,13490616,35845,233101,233101,44064,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,0,717.871,143.396,210.235,260.200,91.652,12.381,13490616,35845,47380,233101,61836,0.10,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,0,675.890,5.153,469.704,87.567,101.690,11.767,1672157,0,0,0,11968,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,0,593.017,17.125,402.463,73.051,88.973,11.398,13490616,35845,233101,233101,35084,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,0,580.657,15.758,208.821,254.082,89.662,12.326,13490616,35845,47380,233101,23012,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,0,706.462,123.801,222.054,263.035,76.676,20.890,13490616,35845,47380,233101,44036,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,0,736.955,115.355,444.702,77.002,88.761,11.129,1673567,0,0,0,42648,0.10,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,0,584.394,17.790,205.265,257.021,92.309,12.002,13490616,35845,47380,233101,35200,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,1,568.847,16.092,200.623,258.411,73.778,19.937,13490616,35845,47380,233101,23096,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,1,696.789,125.392,397.886,76.335,86.256,10.914,13490616,35845,233101,233101,43504,0.09,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,1,700.687,146.225,206.826,249.175,77.587,20.868,13490616,35845,47380,233101,61696,0.10,0.04,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,1,654.992,5.231,470.704,80.280,88.093,10.678,1672157,0,0,0,11996,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,1,677.349,119.388,199.338,256.860,89.989,11.768,13490616,35845,47380,233101,43500,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,1,769.230,116.473,453.137,87.864,100.187,11.562,1674712,0,0,0,42508,0.10,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,1,597.978,17.398,418.246,67.277,84.427,10.623,13490616,35845,233101,233101,34988,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,1,579.580,17.412,198.480,261.505,90.497,11.678,13490616,35845,47380,233101,35136,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
