# fixture=nas_lu,source=/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,0,445.050,84.620,68.974,10.883,609.527,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,0,208.851,300.611,73.862,11.252,594.576,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,0,486.255,89.236,73.807,10.581,659.879,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,1,524.397,84.448,82.251,10.990,702.086,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,1,456.423,60.166,70.493,9.864,596.946,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,1,221.148,279.577,68.440,11.066,580.230,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,2,494.186,88.372,69.210,11.268,663.036,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,2,446.951,83.813,71.264,9.927,611.954,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,2,209.526,279.765,79.378,10.824,579.494,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,3,208.731,281.193,71.020,10.308,571.252,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,3,447.657,64.931,68.520,9.622,590.730,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,3,500.164,87.532,70.003,10.912,668.611,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,4,445.358,80.218,76.194,10.231,612.000,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,4,212.571,298.519,70.314,10.653,592.057,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,4,478.901,88.737,71.856,9.882,649.376,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,5,207.175,287.865,71.671,10.415,577.126,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,5,493.452,84.296,61.515,9.857,649.120,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,5,440.498,89.966,63.889,14.993,609.345,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,6,203.291,309.201,75.469,10.221,598.182,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,6,458.229,75.045,64.513,11.124,608.909,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,text,6,491.326,81.009,81.376,9.694,663.405,42281,551,5255,38337,0,0,0,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,0,0,0,0
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,lazy,7,204.573,284.019,58.417,9.533,556.543,42281,551,5255,38337,30616,38820,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,1435,30104,35359,38820
nas_lu,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClangAstParser/test-resources/c/bench/nas_lu.c,eager,7,444.503,72.020,78.408,9.338,604.268,42281,551,5255,38337,30616,195903,195903,117826,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5,54bd34235970226464922d8841628c0e011776d5af43f70fbd7ea8ff06065fa8,195903,195903,195903,195903
