mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,708.830,107.460,446.110,69.427,76.348,9.479,11765640,30616,195903,195903,42904,0.07,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,0,697.529,128.425,212.599,275.535,61.588,19.375,11765640,30616,38820,195903,54392,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,0,640.125,4.983,478.561,78.881,68.044,9.650,1462593,0,0,0,10940,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,0,617.200,15.567,448.958,70.839,71.570,10.260,11765640,30616,195903,195903,31136,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,0,626.790,15.129,216.492,312.844,71.747,10.571,11765640,30616,38820,195903,20712,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,0,698.486,111.794,213.645,289.289,73.611,10.141,11765640,30616,38820,195903,43300,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,0,746.106,101.298,492.468,70.508,71.779,10.046,1487668,0,0,0,43312,0.08,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,0,589.760,16.042,213.363,276.710,73.236,10.400,11765640,30616,38820,195903,31168,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,1,607.703,14.607,213.267,285.779,83.558,10.485,11765640,30616,38820,195903,20804,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,1,692.004,107.914,448.379,57.161,61.267,17.277,11765640,30616,195903,195903,43144,0.08,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,1,700.679,126.519,204.234,289.959,61.446,18.514,11765640,30616,38820,195903,54332,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,1,660.259,5.012,488.137,74.603,81.765,10.736,1462593,0,0,0,10912,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,1,702.384,109.514,209.316,301.492,71.786,10.269,11765640,30616,38820,195903,43556,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,1,748.489,104.152,481.922,71.183,80.380,10.847,1471248,0,0,0,43328,0.09,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,1,605.924,16.317,457.659,54.554,60.680,16.707,11765640,30616,195903,195903,31156,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
