# fixture=templates,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,0,35.128,2.055,3.357,0.962,41.502,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,0,28.419,2.733,3.613,0.950,35.714,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,0,31.133,2.146,3.345,0.871,37.494,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,1,30.034,1.965,3.337,0.832,36.168,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,1,28.542,1.754,3.420,0.866,34.581,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,1,26.571,2.783,4.475,1.172,35.002,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,2,36.008,1.759,3.160,0.796,41.723,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,2,28.342,1.811,2.958,0.815,33.925,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,2,26.367,2.551,3.059,0.843,32.821,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,3,27.066,2.690,2.782,0.857,33.394,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
