mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,357.480,328.015,24.751,1.460,2.514,0.735,807632,333,2125,2125,62696,0.30,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,0,351.142,321.447,24.313,2.160,2.482,0.735,807632,333,246,2125,62824,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,0,36.457,5.278,26.729,1.425,2.336,0.687,133473,0,0,0,11564,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,0,34.796,5.326,24.700,1.424,2.592,0.748,807632,333,2125,2125,12728,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,0,36.290,5.757,25.330,2.154,2.285,0.758,807632,333,246,2125,12396,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,0,350.534,321.684,23.173,2.231,2.774,0.665,807632,333,246,2125,62584,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,0,348.688,318.234,25.623,1.441,2.685,0.700,132789,0,0,0,64160,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,0,34.958,5.682,23.681,2.242,2.566,0.781,807632,333,246,2125,12596,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,1,32.693,5.505,22.042,2.207,2.250,0.683,807632,333,246,2125,12376,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,1,349.785,320.860,24.824,1.269,2.157,0.672,807632,333,2125,2125,63064,0.30,0.01,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,1,344.445,315.381,21.968,2.014,4.408,0.669,807632,333,246,2125,63048,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,1,33.798,4.487,25.195,1.419,2.044,0.649,133473,0,0,0,11416,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,1,347.846,320.505,22.462,2.061,2.158,0.654,807632,333,246,2125,63092,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,1,347.723,318.976,24.908,1.206,1.926,0.703,133842,0,0,0,64052,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,1,32.897,5.475,23.525,1.215,2.087,0.590,807632,333,2125,2125,12680,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,1,32.168,5.836,21.502,1.905,2.219,0.701,807632,333,246,2125,12704,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,2,31.101,5.186,21.469,1.923,1.953,0.566,807632,333,246,2125,12328,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,2,346.988,318.612,23.820,1.966,1.982,0.604,807632,333,246,2125,63080,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,2,34.145,4.468,25.911,1.231,1.980,0.551,133473,0,0,0,11528,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,2,33.149,5.055,24.311,1.210,1.952,0.618,807632,333,2125,2125,12752,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,2,345.680,319.199,21.753,1.884,1.957,0.883,807632,333,246,2125,63072,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,2,345.773,317.335,24.951,1.133,1.850,0.501,132984,0,0,0,64356,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
