# fixture=wrap,source=/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,0,4.133,1.322,0.677,0.943,7.076,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,0,3.321,1.691,0.895,0.907,6.814,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,0,3.748,1.231,0.643,0.981,6.603,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,1,3.470,1.175,0.577,0.646,5.868,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,1,3.456,1.159,0.552,0.680,5.847,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,1,3.642,1.493,0.597,0.737,6.470,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,2,3.818,1.154,0.465,0.572,6.009,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,2,3.379,1.085,0.438,0.592,5.495,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,2,2.644,1.380,0.538,0.632,5.194,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,3,2.505,1.363,0.492,0.631,4.990,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
