mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,20.020,15.695,2.646,0.883,0.319,0.439,26276,34,228,228,37832,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,0,20.657,15.215,3.298,1.118,0.373,0.647,26276,34,53,228,38252,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,0,7.496,3.428,2.373,0.871,0.371,0.449,4987,0,0,0,7428,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,0,7.803,3.574,2.618,0.840,0.320,0.447,26276,34,228,228,7388,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,0,8.381,3.726,2.614,1.217,0.353,0.466,26276,34,53,228,7704,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,0,19.497,15.555,2.020,1.110,0.354,0.455,26276,34,53,228,38392,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,0,18.606,14.864,2.203,0.810,0.310,0.416,5139,0,0,0,38412,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,0,7.474,3.200,2.390,1.088,0.352,0.440,26276,34,53,228,7436,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,1,7.341,3.500,1.949,1.056,0.353,0.479,26276,34,53,228,7600,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,1,18.828,14.972,2.380,0.781,0.317,0.373,26276,34,228,228,38144,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,1,18.689,14.838,1.935,1.066,0.399,0.446,26276,34,53,228,37836,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,1,7.079,3.382,2.138,0.751,0.330,0.475,4987,0,0,0,7332,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,1,18.567,14.695,1.947,1.127,0.333,0.460,26276,34,53,228,38392,0.00,0.01,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,1,18.668,15.095,2.155,0.726,0.303,0.385,5155,0,0,0,39032,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,1,6.928,3.304,2.202,0.758,0.302,0.359,26276,34,228,228,7308,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,1,7.142,3.351,1.808,1.217,0.329,0.434,26276,34,53,228,7296,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,2,7.139,3.479,1.838,1.089,0.348,0.382,26276,34,53,228,7788,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,2,18.904,15.297,1.829,1.040,0.328,0.406,26276,34,53,228,38396,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,2,7.524,3.329,2.742,0.722,0.343,0.385,4987,0,0,0,7292,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,2,7.040,3.397,2.182,0.777,0.304,0.376,26276,34,228,228,7480,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,2,18.446,14.916,1.781,1.011,0.331,0.402,26276,34,53,228,37676,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,2,18.826,15.049,2.393,0.708,0.317,0.356,5151,0,0,0,39128,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,2,19.510,15.987,2.151,0.688,0.298,0.382,26276,34,228,228,38216,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,2,6.735,3.324,1.695,1.006,0.328,0.378,26276,34,53,228,7264,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,3,18.422,15.045,2.059,0.678,0.300,0.337,5156,0,0,0,38468,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,3,6.673,3.207,2.154,0.683,0.296,0.330,26276,34,228,228,7384,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,3,18.206,14.776,1.708,0.987,0.346,0.384,26276,34,53,228,38148,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,3,6.819,3.317,1.734,1.040,0.358,0.367,26276,34,53,228,7664,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,3,18.304,14.709,1.738,1.093,0.327,0.434,26276,34,53,228,38496,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,3,18.081,14.656,2.071,0.688,0.315,0.346,26276,34,228,228,38800,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,3,6.543,3.214,1.971,0.662,0.297,0.396,4987,0,0,0,7228,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,3,6.770,3.278,1.808,0.994,0.330,0.358,26276,34,53,228,7340,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,4,6.592,3.317,1.659,0.947,0.329,0.337,26276,34,53,228,7644,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,4,18.065,14.757,1.655,0.953,0.341,0.355,26276,34,53,228,37984,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
