# fixture=nas,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,0,405.595,87.410,88.257,12.499,593.760,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,0,221.037,258.811,98.711,14.087,592.647,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,0,456.114,106.175,75.363,11.620,649.272,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,1,444.596,91.759,82.103,11.821,630.280,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,1,400.848,82.485,76.489,12.104,571.925,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,1,204.024,294.699,102.067,16.761,617.551,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,text,2,460.839,100.246,89.024,24.129,674.238,49480,537,5594,45235,0,0,0,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,0,0,0,0
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,eager,2,399.231,99.204,70.443,11.485,580.362,49480,537,5594,45235,35845,233101,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,233101,233101,233101,233101
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,2,205.887,279.921,107.665,13.588,607.061,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
nas,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/nas_bt.c,lazy,3,204.590,254.254,83.559,24.190,566.593,49480,537,5594,45235,35845,47380,233101,137104,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711,b06e5f888c11ad11a9b18ab1880dd04f4d38a21a7533aa25602bd85d8875f4d9,1817,35605,41199,47380
