mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,702.307,119.999,402.771,87.329,81.221,10.981,13490616,35845,233101,233101,44676,0.08,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,0,724.950,145.229,204.795,262.902,88.200,23.817,13490616,35845,47380,233101,61796,0.10,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,0,633.812,5.475,442.541,91.564,74.599,19.628,1673683,0,0,0,11824,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,0,583.474,17.327,402.626,69.182,83.739,10.594,13490616,35845,233101,233101,35060,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,0,610.456,15.543,204.894,273.759,103.368,12.885,13490616,35845,47380,233101,23060,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,0,699.573,120.529,211.939,262.906,91.175,13.016,13490616,35845,47380,233101,44828,0.08,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,0,776.300,117.185,468.395,89.565,89.769,11.380,1665467,0,0,0,43848,0.10,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,0,600.393,17.440,210.805,258.493,101.202,12.445,13490616,35845,47380,233101,35136,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,1,584.981,15.772,213.439,250.705,92.205,12.853,13490616,35845,47380,233101,23048,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,1,688.156,122.927,407.572,63.562,82.949,11.140,13490616,35845,233101,233101,44996,0.09,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,1,724.328,144.140,204.149,263.418,99.936,12.679,13490616,35845,47380,233101,61876,0.11,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,1,653.923,5.574,464.293,81.002,91.476,11.570,1673683,0,0,0,11916,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,1,703.463,120.153,206.560,261.580,102.062,13.102,13490616,35845,47380,233101,44660,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,1,757.341,115.092,446.400,102.171,83.294,10.378,1670009,0,0,0,43944,0.10,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,1,587.597,17.069,405.214,71.060,84.109,10.138,13490616,35845,233101,233101,35080,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,1,570.667,16.932,197.615,254.193,79.115,22.804,13490616,35845,47380,233101,35036,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,2,587.179,15.660,202.361,258.184,98.209,12.757,13490616,35845,47380,233101,23144,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,2,697.144,120.453,202.931,254.890,105.698,13.164,13490616,35845,47380,233101,44836,0.08,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,2,652.800,5.229,451.747,91.578,93.845,10.394,1673683,0,0,0,11880,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,2,595.995,17.129,409.282,75.054,84.094,10.428,13490616,35845,233101,233101,35188,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,2,702.603,141.545,197.791,253.948,96.772,12.541,13490616,35845,47380,233101,61868,0.10,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,2,764.957,115.719,451.899,100.097,86.223,11.013,1670356,0,0,0,43988,0.10,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,2,696.950,123.167,409.210,68.871,85.639,10.058,13490616,35845,233101,233101,45008,0.10,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,2,583.664,17.430,210.415,251.615,91.649,12.547,13490616,35845,47380,233101,35088,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,3,757.904,112.795,459.467,81.655,92.555,11.427,1671262,0,0,0,43968,0.10,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,3,596.808,17.394,404.259,77.533,87.873,9.742,13490616,35845,233101,233101,35136,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,3,690.029,120.717,211.932,252.443,83.774,21.155,13490616,35845,47380,233101,44848,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,3,579.734,15.799,197.062,258.303,96.030,12.534,13490616,35845,47380,233101,23040,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,3,721.304,141.975,202.710,258.913,104.301,13.399,13490616,35845,47380,233101,61796,0.10,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,3,690.310,123.271,406.371,63.904,86.642,10.117,13490616,35845,233101,233101,44344,0.10,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,3,652.072,5.223,459.887,82.873,93.017,11.064,1673683,0,0,0,11928,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,3,613.924,16.672,209.438,273.245,101.455,13.108,13490616,35845,47380,233101,35088,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,4,610.905,15.684,216.289,269.944,96.148,12.833,13490616,35845,47380,233101,22996,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-cold,4,747.952,142.746,219.221,273.364,88.432,24.181,13490616,35845,47380,233101,61828,0.10,0.03,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,4,708.103,119.993,398.576,87.548,92.002,9.978,13490616,35845,233101,233101,44880,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-warm,4,655.407,5.072,467.600,79.666,80.608,22.455,1673683,0,0,0,11908,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-warm,4,607.234,16.937,397.385,106.580,76.203,10.124,13490616,35845,233101,233101,35176,0.00,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-cold,4,699.627,122.438,213.559,254.398,86.775,22.451,13490616,35845,47380,233101,44588,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
text-cold,4,764.321,116.345,452.601,110.621,74.716,10.032,1667251,0,0,0,44112,0.10,0.01,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
lazy-warm,4,613.112,17.157,209.536,269.824,104.070,12.517,13490616,35845,47380,233101,34996,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
eager-cold,5,684.411,119.999,413.923,60.280,71.466,18.738,13490616,35845,233101,233101,44976,0.09,0.02,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
packed-warm,5,620.427,15.896,200.142,292.165,99.406,12.813,13490616,35845,47380,233101,23028,0.00,0.00,d6520614beb5f95009683ece6f972b5f1fd21bfd193be88e930337581e2b5711
