mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,717.118,106.828,466.153,63.670,70.467,9.993,11765640,30616,195903,195903,44204,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,0,729.851,128.948,210.348,297.605,81.111,11.833,11765640,30616,38820,195903,54356,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,0,664.705,4.881,484.791,93.807,71.267,9.953,1472549,0,0,0,11000,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,0,619.501,15.243,443.602,73.505,77.315,9.829,11765640,30616,195903,195903,31056,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,0,599.352,14.922,210.471,283.629,78.945,11.377,11765640,30616,38820,195903,20668,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,0,686.785,105.169,214.166,277.099,78.857,11.486,11765640,30616,38820,195903,44196,0.08,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,0,771.518,110.960,488.790,90.610,65.515,15.637,1467290,0,0,0,43704,0.09,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,0,605.373,15.602,203.045,292.323,83.019,11.374,11765640,30616,38820,195903,31120,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,1,624.421,17.325,212.014,300.910,82.506,11.658,11765640,30616,38820,195903,20680,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,1,710.296,116.092,440.474,68.197,75.941,9.585,11765640,30616,195903,195903,43892,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,1,697.868,126.679,207.422,273.486,78.767,11.505,11765640,30616,38820,195903,54316,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,1,662.926,5.401,497.002,75.082,74.577,10.857,1472549,0,0,0,11020,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,1,707.412,110.239,210.458,299.785,75.731,11.192,11765640,30616,38820,195903,44484,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,1,733.882,103.599,497.898,49.719,72.937,9.722,1471041,0,0,0,43824,0.09,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,1,634.090,22.982,458.435,74.787,68.668,9.211,11765640,30616,195903,195903,31148,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,1,606.342,15.357,205.085,293.400,81.433,11.061,11765640,30616,38820,195903,31052,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,2,602.092,23.056,207.689,278.612,82.027,10.701,11765640,30616,38820,195903,20768,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,2,699.017,111.556,212.691,292.054,71.723,10.987,11765640,30616,38820,195903,44048,0.07,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,2,646.823,5.277,481.542,84.776,65.857,9.365,1472549,0,0,0,10912,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,2,600.409,15.626,443.356,67.897,64.031,9.493,11765640,30616,195903,195903,31056,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,2,728.802,137.037,204.552,295.327,80.768,11.112,11765640,30616,38820,195903,54424,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,2,757.460,103.417,485.259,88.056,71.401,9.320,1469512,0,0,0,43988,0.09,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,2,711.872,108.882,443.876,79.538,70.400,9.170,11765640,30616,195903,195903,44052,0.07,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,2,610.735,22.683,207.846,281.409,87.638,11.152,11765640,30616,38820,195903,31132,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,3,751.206,103.161,481.430,84.266,72.793,9.549,1466856,0,0,0,43684,0.09,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,3,616.400,21.589,447.177,60.262,78.086,9.280,11765640,30616,195903,195903,31160,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,3,714.920,116.748,206.306,299.639,81.036,11.184,11765640,30616,38820,195903,44204,0.08,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,3,610.875,16.899,205.410,295.933,81.474,11.152,11765640,30616,38820,195903,20724,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,3,718.488,135.221,206.647,275.384,90.127,11.101,11765640,30616,38820,195903,54152,0.08,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,3,688.248,107.312,442.626,58.163,69.823,10.317,11765640,30616,195903,195903,43780,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,3,644.893,5.210,491.147,69.873,69.586,9.071,1472549,0,0,0,11076,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,3,636.074,18.424,216.308,316.632,73.766,10.938,11765640,30616,38820,195903,31156,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,4,622.425,14.978,207.891,305.332,83.297,10.920,11765640,30616,38820,195903,20720,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,4,731.852,138.904,207.424,289.464,83.770,12.269,11765640,30616,38820,195903,54432,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,4,705.343,107.772,444.408,74.909,69.137,9.110,11765640,30616,195903,195903,43160,0.07,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,4,648.751,4.923,484.371,70.981,78.870,9.599,1472549,0,0,0,10936,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-warm,4,607.062,15.794,447.613,62.445,72.249,8.955,11765640,30616,195903,195903,31140,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-cold,4,692.368,108.659,214.477,279.654,78.689,10.882,11765640,30616,38820,195903,43504,0.07,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,4,758.627,104.563,485.103,84.403,69.060,15.490,1454500,0,0,0,43372,0.09,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
lazy-warm,4,600.698,15.464,202.705,288.696,82.428,11.397,11765640,30616,38820,195903,31112,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
eager-cold,5,701.461,108.920,440.954,73.888,68.605,9.088,11765640,30616,195903,195903,43368,0.08,0.02,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-warm,5,609.665,18.979,204.757,287.411,87.498,11.015,11765640,30616,38820,195903,20684,0.00,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
packed-cold,5,703.635,134.326,205.406,272.765,80.256,10.876,11765640,30616,38820,195903,54404,0.09,0.03,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-cold,5,748.798,102.279,491.300,81.360,64.221,9.632,1468791,0,0,0,43024,0.08,0.01,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
text-warm,5,661.517,5.323,482.783,88.763,75.148,9.493,1472549,0,0,0,11088,0.00,0.00,4d9611288d44888882c7397d54cab712556a8cad234b841683984082f586d6b5
