# fixture=templates,source=/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,0,34.290,2.031,3.307,0.939,40.567,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,0,28.535,2.788,3.503,0.911,35.737,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,0,31.345,2.158,3.458,0.922,37.883,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,1,29.777,2.081,3.443,0.912,36.213,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,1,28.667,1.769,3.503,0.869,34.807,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,1,27.021,3.090,4.200,1.123,35.434,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,2,36.276,1.752,3.173,0.823,42.023,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,2,27.810,1.785,2.937,0.811,33.344,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,2,25.516,2.581,2.946,0.846,31.888,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,3,26.917,2.626,2.782,0.815,33.140,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,3,27.116,1.651,2.692,0.754,32.212,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,3,29.403,1.595,2.578,0.763,34.339,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,4,32.245,1.469,2.636,0.765,37.115,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,4,24.913,2.432,2.900,0.811,31.056,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,4,27.293,1.517,2.578,0.682,32.070,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,5,24.328,2.303,2.703,0.803,30.138,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,5,28.677,1.551,2.516,0.711,33.455,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,5,25.872,1.539,2.541,0.711,30.662,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,6,26.528,2.280,2.486,0.731,32.025,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,eager,6,25.491,1.516,2.462,0.672,30.142,1065,332,38,483,333,2125,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,2125,2125,2125,2125
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,text,6,27.239,1.557,2.519,0.722,32.037,1065,332,38,483,0,0,0,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,0,0,0,0
templates,/home/lmsousa/Documents/Projects/SPeCS/clang-dumper-ast-flatbuffers/test/inputs/templates.cpp,lazy,7,24.620,2.303,2.922,0.850,30.696,1065,332,38,483,333,246,2125,1903,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a,6af9469397b5f88aa9c47e26267a21b95171b70643574df06814a1179acc30f4,28,179,217,246
