mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,352.228,322.354,25.083,1.384,2.587,0.815,807632,333,2125,2125,64432,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,0,351.467,321.752,24.326,2.213,2.425,0.747,807632,333,246,2125,64176,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,0,35.171,4.741,26.033,1.408,2.302,0.684,132680,0,0,0,11288,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,0,33.876,5.267,24.250,1.364,2.351,0.640,807632,333,2125,2125,12648,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,0,35.404,5.589,21.978,4.908,2.214,0.711,807632,333,246,2125,12288,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,0,342.929,315.655,22.088,2.027,2.436,0.718,807632,333,246,2125,64296,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,0,351.499,321.530,25.320,1.355,2.477,0.812,133512,0,0,0,65296,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,0,35.550,5.541,23.912,2.346,2.903,0.842,807632,333,246,2125,12624,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,1,32.357,5.446,21.828,2.083,2.285,0.711,807632,333,246,2125,12348,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,1,341.813,313.149,24.724,1.231,2.034,0.670,807632,333,2125,2125,64484,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,1,340.541,313.439,22.270,1.983,2.176,0.667,807632,333,246,2125,64228,0.28,0.03,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,1,35.674,4.640,26.944,1.362,2.035,0.689,132680,0,0,0,11392,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,1,340.874,314.006,22.001,2.035,2.139,0.688,807632,333,246,2125,64044,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,1,346.326,317.518,24.960,1.201,1.841,0.802,133454,0,0,0,65264,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,1,33.432,5.538,24.022,1.240,2.037,0.591,807632,333,2125,2125,12600,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,1,32.889,5.467,22.808,1.935,2.058,0.616,807632,333,246,2125,12676,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,2,31.114,5.251,21.388,1.921,1.966,0.585,807632,333,246,2125,12432,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,2,347.193,318.784,23.965,1.914,1.911,0.614,807632,333,246,2125,64400,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,2,34.789,4.745,26.277,1.243,1.959,0.560,132680,0,0,0,11340,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,2,32.636,5.154,23.620,1.232,2.018,0.607,807632,333,2125,2125,12644,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,2,340.733,314.303,21.813,1.928,2.006,0.678,807632,333,246,2125,64500,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,2,339.547,311.079,24.879,1.189,1.805,0.592,133742,0,0,0,65376,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,2,341.834,314.164,23.955,1.246,1.907,0.557,807632,333,2125,2125,64140,0.29,0.01,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,2,34.917,5.469,22.127,4.883,1.858,0.576,807632,333,246,2125,12636,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,3,360.167,331.791,24.764,1.198,1.857,0.553,132116,0,0,0,65556,0.30,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,3,32.600,5.299,23.736,1.181,1.833,0.546,807632,333,2125,2125,12760,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,3,336.625,310.440,21.576,1.941,2.033,0.631,807632,333,246,2125,64228,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,3,31.806,5.324,21.777,2.021,2.045,0.636,807632,333,246,2125,12208,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,3,344.554,318.582,21.079,2.038,2.095,0.755,807632,333,246,2125,64044,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,3,338.609,310.383,24.081,1.569,1.990,0.581,807632,333,2125,2125,64020,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,3,35.223,4.910,26.725,1.176,1.884,0.524,132680,0,0,0,11384,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,3,30.862,5.138,21.222,1.927,1.965,0.605,807632,333,246,2125,12608,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,4,31.055,5.224,21.249,1.909,2.047,0.621,807632,333,246,2125,12336,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,4,341.352,314.927,21.896,1.913,2.028,0.584,807632,333,246,2125,64084,0.29,0.01,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,4,345.367,317.378,24.204,1.252,1.958,0.570,807632,333,2125,2125,64620,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,4,33.018,4.674,24.973,1.100,1.788,0.478,132680,0,0,0,11372,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,4,33.963,5.089,25.500,1.078,1.798,0.495,807632,333,2125,2125,12640,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,4,339.153,313.377,21.256,1.931,1.921,0.663,807632,333,246,2125,64440,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,4,349.919,320.424,25.881,1.204,1.911,0.495,132546,0,0,0,65632,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,4,33.123,5.242,23.084,1.924,2.005,0.864,807632,333,246,2125,12720,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,5,336.513,309.754,23.198,1.151,1.901,0.505,807632,333,2125,2125,64284,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,5,30.707,5.376,21.034,1.896,1.896,0.501,807632,333,246,2125,12356,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,5,340.913,313.375,21.309,1.878,3.692,0.655,807632,333,246,2125,64380,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,5,347.437,320.005,24.011,1.125,1.777,0.515,132405,0,0,0,65196,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,5,32.348,4.715,24.237,1.117,1.806,0.469,132680,0,0,0,11480,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,5,339.644,313.890,21.366,1.893,1.966,0.525,807632,333,246,2125,63988,0.28,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,5,32.593,5.319,23.674,1.175,1.915,0.504,807632,333,2125,2125,12572,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,5,30.779,5.118,21.153,1.938,2.018,0.548,807632,333,246,2125,12584,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,6,347.575,319.363,24.595,1.214,1.921,0.478,134313,0,0,0,65616,0.30,0.01,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,6,353.461,325.037,23.860,1.958,2.095,0.503,807632,333,246,2125,64172,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,6,31.514,5.470,21.380,1.999,2.141,0.519,807632,333,246,2125,12304,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,6,338.596,313.269,21.051,1.850,1.899,0.523,807632,333,246,2125,64040,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-warm,6,32.077,5.370,23.325,1.094,1.815,0.468,807632,333,2125,2125,12624,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-warm,6,32.690,4.452,24.752,1.110,1.890,0.483,132680,0,0,0,11396,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
eager-cold,6,339.991,312.215,24.261,1.164,1.864,0.484,807632,333,2125,2125,64068,0.29,0.01,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-warm,6,32.445,5.066,23.311,1.801,1.762,0.501,807632,333,246,2125,12712,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-cold,7,340.511,314.552,21.516,1.939,2.011,0.488,807632,333,246,2125,64152,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
packed-warm,7,30.444,5.380,20.829,1.862,1.880,0.488,807632,333,246,2125,12324,0.00,0.00,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
text-cold,7,343.494,315.442,24.421,1.149,1.922,0.556,132306,0,0,0,65468,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
lazy-cold,7,341.390,316.501,20.732,1.788,1.850,0.514,807632,333,246,2125,64028,0.29,0.02,8b72b4be8ec059f14e74b5cad6e3804b25be81fc59ccbee156b8b693092a2c6a
