# fixture=wrap,source=/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,modes=text;eager;lazy,warmup=3,measurements=12,text_zstd=true
# query=App.getDescendantsAndFields plus names/operators/types; ids=encounter-order normalized
fixture,source,mode,trial,parse_ms,tu_ms,query_ms,codegen_ms,total_ms,nodes,names,operators,types,typed,materialized,deferred,code_bytes,code_sha256,query_sha256,materialized_read,materialized_tu,materialized_query,materialized_codegen
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,0,3.991,1.254,0.640,0.970,6.855,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,0,3.334,1.740,0.886,0.918,6.877,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,0,3.638,1.215,0.723,0.814,6.390,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,1,3.527,1.211,0.608,0.686,6.032,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,1,3.764,1.192,0.523,0.662,6.141,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,1,3.504,1.502,0.603,0.977,6.587,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,text,2,3.774,1.194,0.460,0.602,6.030,96,18,8,60,0,0,0,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,0,0,0,0
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,eager,2,3.233,1.115,0.431,0.623,5.402,96,18,8,60,34,228,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,228,228,228,228
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,2,2.750,1.415,0.553,0.683,5.401,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
wrap,/home/lmsousa/Documents/Projects/SPeCS/ast-flatbuffers/clava/ClavaWeaver/resources/clava/test/weaver/cpp/src/wrap.cpp,lazy,3,2.568,1.413,0.520,0.695,5.196,96,18,8,60,34,53,228,411,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7,6d51769b6f274f5d333e6042593dc0a09335ee47300096eb21cf24f1ff298df1,2,34,42,53
