mode,trial,total_ms,native_ms,parse_ms,tu_ms,query_ms,codegen_ms,bytes,typed,materialized,deferred,native_rss_kib,native_user_s,native_sys_s,code_sha256
eager-cold,0,19.786,15.536,2.600,0.865,0.328,0.454,26276,34,228,228,38980,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,0,20.574,14.904,3.529,1.202,0.409,0.525,26276,34,53,228,39160,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,0,7.458,3.394,2.406,0.839,0.372,0.443,5137,0,0,0,7368,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,0,7.622,3.485,2.575,0.785,0.332,0.442,26276,34,228,228,7340,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,0,8.211,3.459,2.597,1.207,0.431,0.514,26276,34,53,228,7668,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,0,19.475,15.267,2.117,1.175,0.432,0.479,26276,34,53,228,39308,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,0,20.236,16.254,2.354,0.814,0.389,0.422,5160,0,0,0,39740,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,0,8.256,3.431,2.659,1.210,0.393,0.558,26276,34,53,228,7476,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,1,7.937,3.726,2.111,1.162,0.432,0.503,26276,34,53,228,7672,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,1,18.837,15.000,2.368,0.752,0.321,0.391,26276,34,228,228,39444,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,1,18.839,14.990,1.908,1.088,0.388,0.463,26276,34,53,228,39208,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,1,7.334,3.418,2.350,0.781,0.342,0.441,5137,0,0,0,7288,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,1,19.045,15.200,1.973,1.072,0.356,0.440,26276,34,53,228,39500,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,1,18.373,14.701,2.203,0.741,0.316,0.408,5140,0,0,0,39708,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,1,7.109,3.269,2.333,0.753,0.357,0.393,26276,34,228,228,7328,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,1,7.091,3.340,1.809,1.178,0.343,0.418,26276,34,53,228,7432,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,2,7.192,3.511,1.849,1.088,0.360,0.380,26276,34,53,228,7720,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,2,18.945,15.293,1.853,1.057,0.349,0.389,26276,34,53,228,39780,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,2,7.634,3.312,2.749,0.776,0.366,0.428,5137,0,0,0,7272,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,2,7.163,3.499,2.170,0.792,0.307,0.392,26276,34,228,228,7476,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,2,18.490,14.906,1.787,1.043,0.345,0.405,26276,34,53,228,39608,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,2,19.159,15.265,2.430,0.734,0.323,0.403,5018,0,0,0,39852,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,2,18.547,15.006,2.169,0.685,0.310,0.373,26276,34,228,228,39584,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,2,6.763,3.285,1.679,1.046,0.343,0.406,26276,34,53,228,7308,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,3,18.622,15.205,2.048,0.683,0.307,0.376,5160,0,0,0,40096,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,3,6.694,3.297,2.095,0.653,0.298,0.347,26276,34,228,228,7396,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,3,17.955,14.455,1.707,1.018,0.345,0.425,26276,34,53,228,39272,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,3,7.129,3.358,1.952,1.030,0.333,0.452,26276,34,53,228,7568,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,3,18.608,14.986,1.716,1.092,0.342,0.469,26276,34,53,228,39372,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,3,18.522,14.949,2.131,0.749,0.309,0.380,26276,34,228,228,39180,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,3,6.770,3.367,1.984,0.691,0.310,0.415,5137,0,0,0,7156,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,3,6.827,3.326,1.782,0.999,0.337,0.380,26276,34,53,228,7336,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,4,6.493,3.249,1.625,0.939,0.331,0.346,26276,34,53,228,7668,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,4,18.016,14.591,1.658,0.996,0.389,0.377,26276,34,53,228,39400,0.01,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,4,18.642,15.170,2.094,0.682,0.339,0.352,26276,34,228,228,39424,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,4,6.789,3.411,2.036,0.673,0.321,0.345,5137,0,0,0,7436,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,4,6.921,3.406,2.106,0.722,0.319,0.363,26276,34,228,228,7308,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,4,18.687,15.280,1.699,0.982,0.353,0.369,26276,34,53,228,39180,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,4,18.616,15.255,2.019,0.676,0.319,0.344,5161,0,0,0,39924,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,4,8.591,3.464,2.929,1.146,0.424,0.623,26276,34,53,228,7360,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-cold,5,19.036,15.339,2.158,0.690,0.324,0.520,26276,34,228,228,39316,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,5,7.396,3.927,1.660,0.991,0.348,0.465,26276,34,53,228,7588,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,5,19.859,16.094,1.800,1.103,0.390,0.467,26276,34,53,228,39196,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,5,19.456,15.626,2.269,0.771,0.390,0.396,5168,0,0,0,39948,0.00,0.01,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-warm,5,6.977,3.354,2.125,0.735,0.333,0.427,5137,0,0,0,7424,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-cold,5,19.061,15.265,1.871,1.070,0.432,0.418,26276,34,53,228,39296,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
eager-warm,5,7.090,3.411,2.230,0.729,0.332,0.385,26276,34,228,228,7448,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
lazy-warm,5,10.432,3.257,1.746,4.706,0.374,0.345,26276,34,53,228,7408,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
text-cold,6,18.324,15.030,1.946,0.667,0.357,0.321,5156,0,0,0,39780,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-cold,6,18.415,15.044,1.651,0.973,0.362,0.381,26276,34,53,228,39480,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
packed-warm,6,6.958,3.518,1.716,1.016,0.378,0.328,26276,34,53,228,7820,0.00,0.00,a0ec3694f39e652651d2c054e55bac444baf6bf64428067c0e7ca368319a28b7
